id,num,name,pos,archetype,zone,behavior,passe,marcacao,velocidade,drible,finalizacao,fisico,tatico,mentalidade,confianca,fairPlay,attrs,fatigue,injuryRisk,evolutionXp,priceBRO,marketValueBroCents,country,age,strongFoot,creatorType,rarity,bio,listedOnMarket,mintOverall,evolutionRate,outForMatches,portraitUrl,collectionId,cardSupply,managerCreated,spiritNotes
GEN-027,27,Lyov Miroslav,GK,lenda,goal,equilibrado,65,55,55,55,40,58,62,65,50,35,"{""passe"": 65, ""marcacao"": 55, ""velocidade"": 55, ""drible"": 55, ""finalizacao"": 40, ""fisico"": 58, ""tatico"": 62, ""mentalidade"": 65, ""confianca"": 50, ""fairPlay"": 35}",0,85,62,300,30000,Russian,35,,genesis,Legend,Born to lead — snaps when a teammate is unfairly hit,False,54,62,0,,genesis,1,False,Cold Strategist
GEN-028,28,Marcelinho Souza,CB,novo_talento,defense_central,equilibrado,45,65,75,35,40,60,50,65,50,35,"{""passe"": 45, ""marcacao"": 65, ""velocidade"": 75, ""drible"": 35, ""finalizacao"": 40, ""fisico"": 60, ""tatico"": 50, ""mentalidade"": 65, ""confianca"": 50, ""fairPlay"": 35}",0,48,100,250,25000,Brazil,17,,genesis,Ultra Rare,Switches flanks frequently — uses field geometry to create numerical advantage.,False,52,100,0,,genesis,1,False,Adaptive Leader
GEN-029,29,Marinho Souza,CM,profissional,mid_center,equilibrado,35,25,35,35,35,43,27,15,20,25,"{""passe"": 35, ""marcacao"": 25, ""velocidade"": 35, ""drible"": 35, ""finalizacao"": 35, ""fisico"": 43, ""tatico"": 27, ""mentalidade"": 15, ""confianca"": 20, ""fairPlay"": 25}",0,70,57,10,1000,Brazil,25,,genesis,Basic,"Skillful and unpredictable, you shine under pressure.",False,30,47,0,,genesis,1,False,Impulsive
GEN-030,30,Martine Pache,LWB,novo_talento,wing_left_defense,equilibrado,25,45,45,35,45,36,32,35,30,25,"{""passe"": 25, ""marcacao"": 45, ""velocidade"": 45, ""drible"": 35, ""finalizacao"": 45, ""fisico"": 36, ""tatico"": 32, ""mentalidade"": 35, ""confianca"": 30, ""fairPlay"": 25}",0,56,67,120,12000,Espanha,19,,genesis,Gold,"Unique style forged by skill, vision, and passion.",False,35,67,0,,genesis,1,False,Provocador
GEN-031,31,Moacir Ruda,CDM,profissional,mid_defensive,equilibrado,35,35,35,25,15,22,32,35,35,35,"{""passe"": 35, ""marcacao"": 35, ""velocidade"": 35, ""drible"": 25, ""finalizacao"": 15, ""fisico"": 22, ""tatico"": 32, ""mentalidade"": 35, ""confianca"": 35, ""fairPlay"": 35}",0,70,57,10,1000,Peru,25,,genesis,Basic,"Unique style forged by skill, vision, and passion.",False,30,57,0,,genesis,1,False,Impulsive Charger
GEN-032,32,Murilo Garcia,GK,profissional,goal,equilibrado,35,35,35,15,20,37,25,25,25,25,"{""passe"": 35, ""marcacao"": 35, ""velocidade"": 35, ""drible"": 15, ""finalizacao"": 20, ""fisico"": 37, ""tatico"": 25, ""mentalidade"": 25, ""confianca"": 25, ""fairPlay"": 25}",0,80,57,10,1000,Uruguay,25,,genesis,Basic,"Gritty and fearless, you lead with heart and instinct.",False,28,52,0,,genesis,1,False,Impulsive
GEN-033,33,Omar Khalid,GK,profissional,goal,ofensivo,30,38,40,25,20,32,30,35,37,40,"{""passe"": 30, ""marcacao"": 38, ""velocidade"": 40, ""drible"": 25, ""finalizacao"": 20, ""fisico"": 32, ""tatico"": 30, ""mentalidade"": 35, ""confianca"": 37, ""fairPlay"": 40}",0,85,57,70,7000,Pakistan,30,,genesis,Silver,Unshakable belief — trusts the game can shift with ancestral guidance.,False,33,62,0,,genesis,1,False,Provocative
GEN-034,34,Mathias Jimenez,LM,profissional,mid_left,ofensivo,25,30,35,25,25,42,29,35,25,15,"{""passe"": 25, ""marcacao"": 30, ""velocidade"": 35, ""drible"": 25, ""finalizacao"": 25, ""fisico"": 42, ""tatico"": 29, ""mentalidade"": 35, ""confianca"": 25, ""fairPlay"": 15}",0,70,57,10,1000,Paraguay,25,,genesis,Basic,Reads space before engaging — relies on strategy over instinct.,False,29,57,0,,genesis,1,False,Provocative
GEN-035,35,Mathias Jimenez,LM,profissional,mid_left,ofensivo,40,32,30,30,32,47,35,35,30,25,"{""passe"": 40, ""marcacao"": 32, ""velocidade"": 30, ""drible"": 30, ""finalizacao"": 32, ""fisico"": 47, ""tatico"": 35, ""mentalidade"": 35, ""confianca"": 30, ""fairPlay"": 25}",0,72,57,70,7000,Paraguay,25,,genesis,Silver,Reads space before engaging — relies on strategy over instinct.,False,34,62,0,,genesis,1,False,Provocative
GEN-036,36,Polk Idea,CB,profissional,defense_central,equilibrado,35,35,35,35,30,50,23,5,5,5,"{""passe"": 35, ""marcacao"": 35, ""velocidade"": 35, ""drible"": 35, ""finalizacao"": 30, ""fisico"": 50, ""tatico"": 23, ""mentalidade"": 5, ""confianca"": 5, ""fairPlay"": 5}",0,87,57,10,1000,Ukranian,30,,genesis,Basic,"Unique style forged by skill, vision, and passion.",False,26,32,0,,genesis,1,False,Impulsive
GEN-037,37,Aljariri Rahman,CAM,profissional,mid_attacking,equilibrado,35,20,35,35,35,43,31,25,30,35,"{""passe"": 35, ""marcacao"": 20, ""velocidade"": 35, ""drible"": 35, ""finalizacao"": 35, ""fisico"": 43, ""tatico"": 31, ""mentalidade"": 25, ""confianca"": 30, ""fairPlay"": 35}",0,70,57,10,1000,UAE,25,,genesis,Basic,Rarely retreats — forward movement defines his approach.,False,32,62,0,,genesis,1,False,Impulsive
GEN-038,38,Aljariri Rahman,CAM,novo_talento,mid_attacking,equilibrado,45,35,55,55,75,58,60,75,55,35,"{""passe"": 45, ""marcacao"": 35, ""velocidade"": 55, ""drible"": 55, ""finalizacao"": 75, ""fisico"": 58, ""tatico"": 60, ""mentalidade"": 75, ""confianca"": 55, ""fairPlay"": 35}",0,67,97,250,25000,UAE,30,,genesis,Ultra Rare,Rarely retreats — forward movement defines his approach.,False,55,97,0,,genesis,1,False,Impulsive
GEN-039,39,Sanjay Ravi,GK,profissional,goal,equilibrado,25,25,35,25,35,39,29,35,35,35,"{""passe"": 25, ""marcacao"": 25, ""velocidade"": 35, ""drible"": 25, ""finalizacao"": 35, ""fisico"": 39, ""tatico"": 29, ""mentalidade"": 35, ""confianca"": 35, ""fairPlay"": 35}",0,80,57,10,1000,Indian,25,,genesis,Basic,Unshakable belief — trusts the game can shift with ancestral guidance.,False,32,57,0,,genesis,1,False,Impulsive Charger
GEN-040,40,Ruiz Pacheco,RW,novo_talento,attack_right,equilibrado,55,60,65,55,75,57,59,65,65,65,"{""passe"": 55, ""marcacao"": 60, ""velocidade"": 65, ""drible"": 55, ""finalizacao"": 75, ""fisico"": 57, ""tatico"": 59, ""mentalidade"": 65, ""confianca"": 65, ""fairPlay"": 65}",0,59,57,90,9000,Chile,28,,genesis,Classic,"Unique style forged by skill, vision, and passion.",False,62,76,0,,genesis,1,False,Adaptive Leader
GEN-041,41,Ruiz Pacheco,RW,lenda,attack_right,equilibrado,65,70,65,65,85,57,65,65,65,65,"{""passe"": 65, ""marcacao"": 70, ""velocidade"": 65, ""drible"": 65, ""finalizacao"": 85, ""fisico"": 57, ""tatico"": 65, ""mentalidade"": 65, ""confianca"": 65, ""fairPlay"": 65}",0,62,72,300,30000,Chile,30,,genesis,Legend,"Unique style forged by skill, vision, and passion.",False,67,72,0,,genesis,1,False,Adaptive Leader
GEN-042,42,Satto Nakamoto,CB,profissional,defense_central,equilibrado,45,35,45,45,40,36,33,15,30,45,"{""passe"": 45, ""marcacao"": 35, ""velocidade"": 45, ""drible"": 45, ""finalizacao"": 40, ""fisico"": 36, ""tatico"": 33, ""mentalidade"": 15, ""confianca"": 30, ""fairPlay"": 45}",0,78,43,120,12000,Japan,27,,genesis,Gold,"Precise, focused, and resilient in every situation.",False,37,43,0,,genesis,1,False,Adaptive Leader
GEN-043,43,Savinho Davila,EXT,novo_talento,wing_attack,equilibrado,45,25,45,45,40,29,37,25,25,25,"{""passe"": 45, ""marcacao"": 25, ""velocidade"": 45, ""drible"": 45, ""finalizacao"": 40, ""fisico"": 29, ""tatico"": 37, ""mentalidade"": 25, ""confianca"": 25, ""fairPlay"": 25}",0,53,62,120,12000,Brazil,17,,genesis,Gold,Delays passing in favor of direct action — believes in personal execution.,False,34,62,0,,genesis,1,False,Adaptive Leader
GEN-044,44,Luiz Spiner,GK,profissional,goal,equilibrado,35,35,35,15,20,42,25,25,25,25,"{""passe"": 35, ""marcacao"": 35, ""velocidade"": 35, ""drible"": 15, ""finalizacao"": 20, ""fisico"": 42, ""tatico"": 25, ""mentalidade"": 25, ""confianca"": 25, ""fairPlay"": 25}",0,80,57,10,1000,Mexico,25,,genesis,Basic,"Unique style forged by skill, vision, and passion.",False,28,52,0,,genesis,1,False,Impulsive Charger
GEN-045,45,Sun Tsung,RB,profissional,defense_right,equilibrado,35,35,25,35,10,38,27,15,20,25,"{""passe"": 35, ""marcacao"": 35, ""velocidade"": 25, ""drible"": 35, ""finalizacao"": 10, ""fisico"": 38, ""tatico"": 27, ""mentalidade"": 15, ""confianca"": 20, ""fairPlay"": 25}",0,82,57,10,1000,South Korea,30,,genesis,Basic,Responds to coach input faster than peer pressure — prioritizes leadership over environment.,False,26,37,0,,genesis,1,False,Cold Strategist
GEN-046,46,Patrick Taliano,ST,profissional,attack_striker,equilibrado,35,20,35,35,35,32,23,5,10,15,"{""passe"": 35, ""marcacao"": 20, ""velocidade"": 35, ""drible"": 35, ""finalizacao"": 35, ""fisico"": 32, ""tatico"": 23, ""mentalidade"": 5, ""confianca"": 10, ""fairPlay"": 15}",0,86,57,10,1000,Italy,29,,genesis,Basic,Activates sprint mode without needing trigger — physical instinct drives reactions.,False,24,34,0,,genesis,1,False,Impulsive
GEN-047,47,Dario Tcheco,LB,profissional,defense_left,equilibrado,35,25,35,25,25,39,28,25,30,35,"{""passe"": 35, ""marcacao"": 25, ""velocidade"": 35, ""drible"": 25, ""finalizacao"": 25, ""fisico"": 39, ""tatico"": 28, ""mentalidade"": 25, ""confianca"": 30, ""fairPlay"": 35}",0,70,57,10,1000,Tchequia,25,,genesis,Basic,Overcommits after scoring — momentum disrupts balance.,False,30,52,0,,genesis,1,False,Cold Strategist
GEN-048,48,Caue Ubirajara,CB,profissional,defense_central,equilibrado,35,35,15,15,5,22,29,35,35,35,"{""passe"": 35, ""marcacao"": 35, ""velocidade"": 15, ""drible"": 15, ""finalizacao"": 5, ""fisico"": 22, ""tatico"": 29, ""mentalidade"": 35, ""confianca"": 35, ""fairPlay"": 35}",0,100,57,10,1000,Equador,35,,genesis,Basic,"Unique style forged by skill, vision, and passion.",False,26,37,0,,genesis,1,False,Impulsive Charger
GEN-049,49,Victor Suarez,RM,profissional,mid_right,equilibrado,35,25,35,35,35,33,35,35,35,35,"{""passe"": 35, ""marcacao"": 25, ""velocidade"": 35, ""drible"": 35, ""finalizacao"": 35, ""fisico"": 33, ""tatico"": 35, ""mentalidade"": 35, ""confianca"": 35, ""fairPlay"": 35}",0,67,57,10,1000,Uruguay,23,,genesis,Basic,"Gritty and fearless, you lead with heart and instinct.",False,34,61,0,,genesis,1,False,Adaptive Leader
GEN-050,50,Zimbabwe Konolulo,GK,profissional,goal,equilibrado,45,35,25,45,10,40,45,45,45,45,"{""passe"": 45, ""marcacao"": 35, ""velocidade"": 25, ""drible"": 45, ""finalizacao"": 10, ""fisico"": 40, ""tatico"": 45, ""mentalidade"": 45, ""confianca"": 45, ""fairPlay"": 45}",0,92,62,120,12000,Gana,30,,genesis,Gold,"Unique style forged by skill, vision, and passion.",False,38,62,0,,genesis,1,False,Impulsive Charger
